replicate,confusion_pct,unique_pct
1,2.907,82.5581
2,2.907,83.1395
3,2.907,83.1395
4,3.4884,83.7209
5,3.4884,83.7209
6,3.4884,83.7209
7,3.4884,83.7209
8,3.4884,83.7209
9,3.4884,83.7209
10,3.4884,83.7209
11,3.4884,83.7209
12,3.4884,83.7209
13,4.0698,84.3023
14,4.0698,84.3023
15,4.0698,84.3023
16,4.0698,84.3023
17,4.0698,84.3023
18,4.0698,84.3023
19,4.0698,84.3023
20,4.0698,84.3023
21,4.0698,84.3023
22,4.0698,84.3023
23,4.0698,84.8837
24,4.0698,84.8837
25,4.0698,84.8837
26,4.0698,84.8837
27,4.0698,84.8837
28,4.0698,84.8837
29,4.0698,84.8837
30,4.0698,84.8837
31,4.0698,84.8837
32,4.0698,84.8837
33,4.0698,84.8837
34,4.6512,84.8837
35,4.6512,84.8837
36,4.6512,84.8837
37,4.6512,84.8837
38,4.6512,84.8837
39,4.6512,84.8837
40,4.6512,84.8837
41,4.6512,84.8837
42,4.6512,84.8837
43,4.6512,84.8837
44,4.6512,84.8837
45,4.6512,84.8837
46,4.6512,84.8837
47,4.6512,84.8837
48,4.6512,85.4651
49,4.6512,85.4651
50,4.6512,85.4651
51,4.6512,85.4651
52,4.6512,85.4651
53,4.6512,85.4651
54,4.6512,85.4651
55,4.6512,85.4651
56,4.6512,85.4651
57,4.6512,85.4651
58,4.6512,85.4651
59,4.6512,85.4651
60,4.6512,85.4651
61,4.6512,85.4651
62,4.6512,85.4651
63,4.6512,85.4651
64,4.6512,85.4651
65,4.6512,85.4651
66,4.6512,85.4651
67,4.6512,85.4651
68,4.6512,85.4651
69,4.6512,85.4651
70,4.6512,85.4651
71,4.6512,85.4651
72,4.6512,85.4651
73,5.2326,85.4651
74,5.2326,85.4651
75,5.2326,85.4651
76,5.2326,85.4651
77,5.2326,85.4651
78,5.2326,85.4651
79,5.2326,85.4651
80,5.2326,85.4651
81,5.2326,85.4651
82,5.2326,85.4651
83,5.2326,85.4651
84,5.2326,85.4651
85,5.2326,85.4651
86,5.2326,86.0465
87,5.2326,86.0465
88,5.2326,86.0465
89,5.2326,86.0465
90,5.2326,86.0465
91,5.2326,86.0465
92,5.2326,86.0465
93,5.2326,86.0465
94,5.2326,86.0465
95,5.2326,86.0465
96,5.2326,86.0465
97,5.2326,86.0465
98,5.2326,86.0465
99,5.2326,86.0465
100,5.2326,86.0465
101,5.2326,86.0465
102,5.2326,86.0465
103,5.2326,86.0465
104,5.2326,86.0465
105,5.2326,86.0465
106,5.2326,86.0465
107,5.2326,86.0465
108,5.2326,86.0465
109,5.2326,86.0465
110,5.2326,86.0465
111,5.2326,86.0465
112,5.2326,86.0465
113,5.2326,86.0465
114,5.2326,86.0465
115,5.2326,86.0465
116,5.2326,86.0465
117,5.2326,86.0465
118,5.2326,86.0465
119,5.2326,86.0465
120,5.2326,86.0465
121,5.2326,86.0465
122,5.2326,86.0465
123,5.2326,86.0465
124,5.2326,86.0465
125,5.2326,86.0465
126,5.2326,86.0465
127,5.2326,86.0465
128,5.2326,86.0465
129,5.2326,86.0465
130,5.2326,86.0465
131,5.2326,86.0465
132,5.2326,86.0465
133,5.2326,86.0465
134,5.2326,86.0465
135,5.2326,86.0465
136,5.2326,86.0465
137,5.2326,86.0465
138,5.2326,86.0465
139,5.2326,86.0465
140,5.2326,86.0465
