name,id,class,platforms,permissions
Container and Resource Discovery,attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,CF,Containers,
Container Orchestration Job,attack-pattern--1126cab1-c700-412f-a510-61f4937bb096,CF,Containers,
Additional Container Cluster Roles,attack-pattern--35d30338-5bfa-41b0-a170-ec06dfd75f64,CF,Containers,
Systemctl,attack-pattern--4b46767d-4a61-4f30-995e-c19a75c2e536,CF,Linux,
Overwrite Process Arguments,attack-pattern--514dc7b3-0b80-4382-80a9-2e2d294f5019,CF,Linux,
Disable or Modify Linux Audit System,attack-pattern--562e9b64-7239-493d-80f4-2bff900d9054,CF,Linux,
Deploy Container,attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,CF,Containers,
Bind Mounts,attack-pattern--5bd41255-a224-4425-a2e2-e9d293eafe1c,CF,Linux,
Container Administration Command,attack-pattern--7b50a1d3-4ca7-45d1-989d-a6503f04bfe1,CF,Containers,
Build Image on Host,attack-pattern--800f9819-7007-4540-a520-40e655876800,CF,Containers,
Systemd Timers,attack-pattern--a542bac9-7bc1-4da7-9a09-96f69e23cc21,CF,Linux,
Container Service,attack-pattern--b0e54bf7-835e-4f44-bd8e-62f431b9b76a,CF,Containers,
Container CLI/API,attack-pattern--c283d88f-8c23-4318-9da5-3d50cecad756,CF,Containers,
/etc/passwd and /etc/shadow,attack-pattern--d0b4fcdb-d67d-4ed2-99ce-788b12f8c0f4,CF,Linux,
Proc Memory,attack-pattern--d201d4cc-214d-4a74-a1ba-b3fa09fd4591,CF,Linux,
Systemd Service,attack-pattern--dfefe2ed-4389-4318-8762-f0272b350a1b,CF,Linux,
XDG Autostart Entries,attack-pattern--e0232cb0-ded5-4c2e-9dc7-2893142a5c11,CF,Linux,
Ptrace System Calls,attack-pattern--ea016b56-ae0e-47fe-967a-cc0ad51af67f,CF,Linux,
Container API,attack-pattern--f8ef3a62-3f44-40a4-abca-761ab235c436,CF,Containers,
Extra Window Memory Injection,attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298,VMR,Windows,
Scheduled Task,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,VMR,Windows,
Socket Filters,attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,VMR,Linux;macOS;Windows,
Archive via Utility,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,VMR,Linux;macOS;Windows,
Windows Management Instrumentation,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,VMR,Windows,
Screen Capture,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,VMR,Linux;Windows;macOS,
Fileless Storage,attack-pattern--02c5abff-30bf-4703-ab92-1f6072fae939,VMR,Windows;Linux,
Boot or Logon Initialization Scripts,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,VMR,macOS;Windows;Linux;Network Devices;ESXi,
Adversary-in-the-Middle,attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,VMR,Linux;macOS;Network Devices;Windows,
System Owner/User Discovery,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,VMR,Linux;macOS;Network Devices;Windows,
Acquire Infrastructure,attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2,VMR,PRE,
Rundll32,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,VMR,Windows,
Serverless,attack-pattern--04a5a8ab-3bc8-4c83-95c9-55274a89786d,VMR,PRE,
Standard Encoding,attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,VMR,ESXi;Linux;Windows;macOS,
Embedded Payloads,attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,VMR,Linux;macOS;Windows,
Pluggable Authentication Modules,attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771,VMR,Linux;macOS,
Gather Victim Host Information,attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,VMR,PRE,
Digital Certificates,attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca,VMR,PRE,
Keylogging,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,VMR,Linux;macOS;Network Devices;Windows,
File/Path Exclusions,attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,VMR,Linux;macOS;Windows,
Linux and Mac File and Directory Permissions Modification,attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,VMR,macOS;Linux,
PubPrn,attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58,VMR,Windows,
